point_id,lat,lon,crop,period_start,period_end,label,month,biweek,mean_C,std_C,precip_total_mm,precip_rainy_days,pet_mm,spei_1m,spei_3m,spei_6m,spei_12m,AWC_mm,Storage_mm,P_acum_mm,WRSI,deficit_pct,future_deficit_1m,future_deficit_3m,future_deficit_6m,future_deficit_1m_mm,future_deficit_3m_mm,future_deficit_6m_mm,suggestion,oni
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2016-12-16,2016-12-31,2016-12_Q2,12,2,24.51,0.34,161.53,2.0,57.51,1.308,0.738,0.16,-1.557,137.21,5.68,1072.36,0.688,31.2,0.6226,0.6306,0.3932,71.08,261.31,311.24,NOT_SUITABLE,-0.37
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-01-01,2017-01-15,2017-01_Q1,1,1,24.67,0.75,67.48,2.0,65.21,0.303,0.822,0.18,-1.375,137.21,0.0,1076.47,0.7197,28.03,1.0,0.6915,0.3711,135.03,292.88,297.43,NOT_SUITABLE,-0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-01-16,2017-01-31,2017-01_Q2,1,2,25.62,1.04,0.0,0.0,65.21,0.145,0.984,0.133,-1.357,137.21,0.0,1076.47,0.7223,27.77,0.9404,0.5553,0.2963,146.7,240.15,240.15,NOT_SUITABLE,-0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-02-01,2017-02-15,2017-02_Q1,2,1,27.79,0.54,0.0,0.0,88.01,-0.943,0.691,-0.012,-1.345,137.21,0.0,1070.82,0.7149,28.51,0.6617,0.39,0.2038,98.82,162.39,162.39,NOT_SUITABLE,0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-02-16,2017-02-28,2017-02_Q2,2,2,27.6,0.32,99.67,5.0,88.01,-0.751,-0.063,-0.045,-1.217,137.21,0.0,1075.75,0.7136,28.64,0.3018,0.2337,0.1194,43.53,93.45,93.45,HIGH,0.08
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-03-01,2017-03-15,2017-03_Q1,3,1,26.85,1.44,134.93,8.0,77.88,0.656,0.066,0.183,-0.637,137.21,0.0,1108.75,0.7313,26.87,0.4242,0.1632,0.0825,59.03,63.57,63.57,HIGH,0.27
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-03-16,2017-03-31,2017-03_Q2,3,2,25.09,0.74,191.88,9.0,77.88,1.364,0.447,0.535,-0.191,137.21,0.0,1159.37,0.7594,24.06,0.3774,0.1323,0.066,49.92,49.92,49.92,HIGH,0.27
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-04-01,2017-04-15,2017-04_Q1,4,1,25.98,0.61,124.84,8.0,70.08,0.108,-0.114,0.268,-0.3,137.21,0.0,1145.54,0.7486,25.14,0.0355,0.012,0.0061,4.54,4.54,4.54,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-04-16,2017-04-30,2017-04_Q2,4,2,25.29,0.8,248.17,9.0,70.08,-1.288,-0.266,0.18,-0.58,137.21,0.0,1089.69,0.7462,25.38,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-05-01,2017-05-15,2017-05_Q1,5,1,24.13,0.64,237.16,10.0,64.99,0.652,0.538,0.57,-0.427,137.21,74.46,1156.93,0.7461,25.39,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-05-16,2017-05-31,2017-05_Q2,5,2,25.23,0.6,189.42,6.0,64.99,0.861,0.337,-0.072,-0.449,137.21,71.62,1154.39,0.746,25.4,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-06-01,2017-06-15,2017-06_Q1,6,1,24.82,0.99,222.11,7.0,63.91,-0.795,0.272,-0.04,-0.255,137.21,83.08,1202.02,0.7457,25.43,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-06-16,2017-06-30,2017-06_Q2,6,2,24.67,0.44,131.69,4.0,63.91,0.587,0.176,0.254,-0.05,137.21,95.67,1249.76,0.7548,24.52,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.32
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-07-01,2017-07-15,2017-07_Q1,7,1,25.11,0.61,95.94,2.0,70.21,0.995,0.657,0.415,0.1,137.21,91.5,1266.04,0.7661,23.39,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.14
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-07-16,2017-07-31,2017-07_Q2,7,2,25.26,0.72,128.35,2.0,70.21,0.603,0.901,0.543,0.162,137.21,78.29,1278.17,0.7806,21.94,0.0,0.0,0.004,0.0,0.0,2.76,LOW,0.14
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-08-01,2017-08-15,2017-08_Q1,8,1,25.28,0.61,107.29,3.0,67.31,0.402,0.263,0.59,0.144,137.21,61.22,1275.77,0.7894,21.06,0.0,0.0,0.0953,0.0,0.0,65.78,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-08-16,2017-08-31,2017-08_Q2,8,2,24.69,0.52,161.26,7.0,67.31,0.881,0.63,0.765,0.232,137.21,71.52,1296.93,0.7958,20.42,0.0,0.0,0.1867,0.0,0.0,129.41,MEDIUM,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-09-01,2017-09-15,2017-09_Q1,9,1,24.75,0.83,85.67,7.0,62.44,1.191,0.953,0.756,0.312,137.21,123.73,1330.79,0.7953,20.47,0.0,0.0,0.2943,0.0,0.0,212.04,MEDIUM,-0.23
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-09-16,2017-09-30,2017-09_Q2,9,2,24.86,0.5,106.83,5.0,62.44,0.124,0.473,0.491,0.379,137.21,123.04,1344.87,0.797,20.3,0.0,0.0,0.3531,0.0,0.0,263.9,HIGH,-0.23
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-10-01,2017-10-15,2017-10_Q1,10,1,24.73,0.64,146.03,5.0,62.57,-1.373,0.05,0.473,0.266,137.21,119.96,1330.91,0.7965,20.35,0.0,0.0,0.3748,0.0,0.0,279.75,HIGH,-0.44
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-10-16,2017-10-31,2017-10_Q2,10,2,24.72,1.12,165.72,5.0,62.57,-1.378,-0.117,0.456,0.415,137.21,137.21,1342.64,0.796,20.4,0.0,0.0085,0.3749,0.0,2.76,279.75,HIGH,-0.44
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-11-01,2017-11-15,2017-11_Q1,11,1,24.22,0.52,208.02,5.0,54.35,-0.233,-0.182,0.146,0.525,137.21,137.21,1336.49,0.7944,20.56,0.0,0.1935,0.3718,0.0,65.78,279.75,HIGH,-0.61
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-11-16,2017-11-30,2017-11_Q2,11,2,24.0,0.62,114.76,7.0,54.35,-0.233,-0.864,0.102,0.321,137.21,128.14,1263.93,0.7928,20.72,0.0,0.3633,0.3687,0.0,129.41,279.75,HIGH,-0.61
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-12-01,2017-12-15,2017-12_Q1,12,1,24.41,0.61,24.29,1.0,60.32,-0.466,-1.255,0.056,0.232,137.21,87.11,1248.76,0.7919,20.81,0.0,0.5486,0.3651,0.0,212.04,279.75,NOT_SUITABLE,-0.76
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2017-12-16,2017-12-31,2017-12_Q2,12,2,24.82,0.44,75.08,1.0,60.32,0.569,-0.857,-0.048,0.374,137.21,52.05,1260.54,0.7927,20.73,0.0249,0.6339,0.3616,2.76,263.9,279.75,NOT_SUITABLE,-0.76
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-01-01,2018-01-15,2018-01_Q1,1,1,23.95,0.26,101.11,2.0,59.42,1.056,0.001,-0.014,0.446,137.21,39.82,1266.29,0.8017,19.83,0.5405,0.6679,0.3555,65.78,279.75,279.75,NOT_SUITABLE,-0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-01-16,2018-01-31,2018-01_Q2,1,2,25.05,0.81,37.58,3.0,59.42,1.059,0.17,-0.002,0.538,137.21,0.0,1279.31,0.8379,16.21,0.9523,0.6571,0.3463,126.65,276.99,276.99,NOT_SUITABLE,-0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-02-01,2018-02-15,2018-02_Q1,2,1,25.88,0.38,12.75,2.0,69.85,0.566,0.092,0.017,0.596,137.21,0.0,1282.4,0.8465,15.35,0.9535,0.5189,0.2868,146.26,213.97,229.75,NOT_SUITABLE,-0.67
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-02-16,2018-02-28,2018-02_Q2,2,2,26.33,0.53,5.77,1.0,69.85,0.429,0.766,-0.11,0.61,137.21,0.0,1276.36,0.849,15.1,0.7805,0.3734,0.2368,134.48,150.34,189.72,NOT_SUITABLE,-0.67
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-03-01,2018-03-15,2018-03_Q1,3,1,27.56,0.86,32.59,3.0,91.12,-0.384,0.379,-0.529,0.372,137.21,0.0,1239.0,0.8151,18.49,0.4711,0.1783,0.1388,67.71,67.71,107.08,HIGH,-0.55
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-03-16,2018-03-31,2018-03_Q2,3,2,26.68,0.49,122.22,6.0,91.12,-0.595,0.168,-0.465,0.077,137.21,0.0,1213.47,0.7913,20.87,0.1364,0.0444,0.0744,15.86,15.86,55.23,LOW,-0.55
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-04-01,2018-04-15,2018-04_Q1,4,1,24.17,0.68,235.44,9.0,61.2,-0.046,-0.187,-0.324,0.108,137.21,0.0,1234.92,0.8099,19.01,0.0,0.0,0.0533,0.0,0.0,39.38,LOW,-0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-04-16,2018-04-30,2018-04_Q2,4,2,24.93,0.72,365.73,7.0,61.2,0.349,-0.139,-0.197,0.147,137.21,32.89,1264.37,0.8119,18.81,0.0,0.0,0.0536,0.0,0.0,39.38,LOW,-0.35
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-05-01,2018-05-15,2018-05_Q1,5,1,24.0,0.81,236.74,7.0,59.63,1.017,0.29,0.105,-0.019,137.21,90.54,1242.91,0.8113,18.87,0.0,0.0406,0.0537,0.0,15.78,39.38,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-05-16,2018-05-31,2018-05_Q2,5,2,24.28,0.54,257.0,8.0,59.63,1.519,0.515,0.634,0.151,137.21,137.21,1292.38,0.8108,18.92,0.0,0.0988,0.0538,0.0,39.38,39.38,LOW,-0.07
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-06-01,2018-06-15,2018-06_Q1,6,1,25.3,0.55,411.34,8.0,66.38,-0.801,0.408,0.285,-0.044,137.21,93.27,1239.75,0.8111,18.89,0.0,0.1005,0.054,0.0,39.38,39.38,LOW,0.13
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-06-16,2018-06-30,2018-06_Q2,6,2,24.74,0.41,127.59,3.0,66.38,-0.673,0.551,0.344,-0.116,137.21,91.39,1227.93,0.8114,18.86,0.0,0.1023,0.0645,0.0,39.38,46.92,LOW,0.13
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-07-01,2018-07-15,2018-07_Q1,7,1,25.47,0.73,252.62,4.0,71.98,-0.418,0.283,0.111,-0.23,137.21,45.18,1187.97,0.8117,18.83,0.1161,0.1064,0.1667,15.78,39.38,122.39,MEDIUM,0.2
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-07-16,2018-07-31,2018-07_Q2,7,2,25.33,0.77,238.99,4.0,71.98,-0.971,-0.111,0.031,-0.315,137.21,14.05,1172.19,0.812,18.8,0.2931,0.1107,0.2498,39.38,39.38,184.9,MEDIUM,0.2
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-08-01,2018-08-15,2018-08_Q1,8,1,25.24,0.86,151.36,4.0,70.67,-0.914,-0.967,-0.11,-0.376,137.21,0.0,1162.84,0.8018,19.82,0.1908,0.0686,0.3322,23.6,23.6,250.58,HIGH,0.3
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-08-16,2018-08-31,2018-08_Q2,8,2,25.55,0.33,170.47,8.0,70.67,-0.703,-1.115,-0.177,-0.568,137.21,0.0,1132.13,0.7865,21.35,0.0,0.0,0.3882,0.0,0.0,298.0,HIGH,0.3
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-09-01,2018-09-15,2018-09_Q1,9,1,24.42,0.97,148.37,4.0,59.46,-0.046,-0.506,0.065,-0.623,137.21,42.0,1119.32,0.7861,21.39,0.0,0.0,0.4629,0.0,0.0,367.21,HIGH,0.52
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-09-16,2018-09-30,2018-09_Q2,9,2,24.69,0.66,130.81,8.0,59.46,0.522,-0.364,0.221,-0.383,137.21,75.43,1151.1,0.7858,21.42,0.0,0.022,0.515,0.0,7.54,421.7,NOT_SUITABLE,0.52
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-10-01,2018-10-15,2018-10_Q1,10,1,23.88,0.46,224.31,8.0,56.31,0.339,0.112,0.272,-0.213,137.21,115.93,1189.71,0.785,21.5,0.0,0.228,0.538,0.0,83.02,446.31,NOT_SUITABLE,0.82
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-10-16,2018-10-31,2018-10_Q2,10,2,24.08,0.63,146.22,10.0,56.31,0.045,0.254,0.061,-0.03,137.21,137.21,1191.55,0.7844,21.56,0.0,0.3784,0.5316,0.0,145.52,446.31,NOT_SUITABLE,0.82
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-11-01,2018-11-15,2018-11_Q1,11,1,24.37,0.71,62.34,5.0,58.27,-0.668,0.095,-0.486,-0.002,137.21,129.52,1170.35,0.7851,21.49,0.0,0.5534,0.5294,0.0,226.98,446.31,NOT_SUITABLE,1.04
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-11-16,2018-11-30,2018-11_Q2,11,2,24.75,0.6,76.62,4.0,58.27,-1.245,-0.317,-0.934,-0.024,137.21,105.11,1160.04,0.7859,21.41,0.0613,0.6851,0.5274,7.54,298.0,446.31,NOT_SUITABLE,1.04
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-12-01,2018-12-15,2018-12_Q1,12,1,24.74,0.64,43.96,1.0,64.62,-1.07,-0.817,-0.754,-0.114,137.21,47.5,1148.92,0.7866,21.34,0.6064,0.8061,0.5276,83.02,367.21,446.31,NOT_SUITABLE,1.05
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2018-12-16,2018-12-31,2018-12_Q2,12,2,25.55,0.38,4.89,2.0,64.62,-1.554,-1.243,-0.967,-0.076,137.21,0.0,1134.33,0.7824,21.76,0.9201,0.8695,0.5189,137.98,414.15,438.76,NOT_SUITABLE,1.05
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-01-01,2019-01-15,2019-01_Q1,1,1,25.87,0.79,6.81,1.0,80.45,-1.549,-1.479,-0.981,-0.392,137.21,0.0,1091.16,0.7356,26.44,0.9231,0.7806,0.4352,143.97,363.29,363.29,NOT_SUITABLE,0.99
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-01-16,2019-01-31,2019-01_Q2,1,2,27.02,0.44,32.43,1.0,80.45,-1.514,-1.534,-1.024,-0.537,137.21,0.0,1090.13,0.7001,29.99,0.9413,0.6609,0.3971,152.48,300.78,327.63,NOT_SUITABLE,0.99
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-02-01,2019-02-15,2019-02_Q1,2,1,27.59,0.37,0.0,0.0,89.01,-1.107,-1.574,-1.225,-0.72,137.21,0.0,1087.04,0.6912,30.88,0.8619,0.5067,0.3273,140.23,219.32,264.31,NOT_SUITABLE,0.94
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-02-16,2019-02-28,2019-02_Q2,2,2,27.82,0.55,56.12,1.0,89.01,-0.825,-1.828,-1.239,-0.837,137.21,0.0,1093.29,0.6892,31.08,0.7526,0.3605,0.2928,123.7,148.3,231.53,NOT_SUITABLE,0.94
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-03-01,2019-03-15,2019-03_Q1,3,1,27.87,0.67,86.77,6.0,90.82,-0.473,-1.515,-1.403,-0.784,137.21,0.0,1102.37,0.6969,30.31,0.5389,0.2026,0.2203,79.09,79.09,168.4,NOT_SUITABLE,0.87
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-03-16,2019-03-31,2019-03_Q2,3,2,26.24,1.42,103.29,6.0,90.82,-0.542,-1.005,-1.393,-0.833,137.21,0.0,1096.13,0.6945,30.55,0.1911,0.0666,0.1544,24.61,24.61,113.91,MEDIUM,0.87
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-04-01,2019-04-15,2019-04_Q1,4,1,25.97,0.65,125.11,5.0,71.82,-0.392,-0.818,-1.375,-0.873,137.21,0.0,1094.01,0.6902,30.98,0.0,0.0,0.1236,0.0,0.0,89.31,LOW,0.82
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-04-16,2019-04-30,2019-04_Q2,4,2,25.28,1.06,238.19,11.0,71.82,0.097,-0.563,-1.302,-0.868,137.21,38.26,1105.28,0.6914,30.86,0.0,0.0726,0.1262,0.0,26.84,89.31,LOW,0.82
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-05-01,2019-05-15,2019-05_Q1,5,1,25.56,1.08,281.83,5.0,66.57,0.116,-0.424,-1.208,-1.133,137.21,48.41,1060.04,0.6918,30.82,0.0,0.1201,0.1277,0.0,44.99,89.31,LOW,0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-05-16,2019-05-31,2019-05_Q2,5,2,24.18,0.52,208.71,9.0,66.57,0.871,0.056,-0.987,-1.052,137.21,118.76,1080.95,0.6922,30.78,0.0,0.2193,0.1292,0.0,83.22,89.31,MEDIUM,0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-06-01,2019-06-15,2019-06_Q1,6,1,24.76,0.79,249.82,8.0,69.17,0.075,-0.029,-1.134,-1.085,137.21,93.99,1097.78,0.6917,30.83,0.0,0.2387,0.1302,0.0,89.31,89.31,MEDIUM,0.59
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-06-16,2019-06-30,2019-06_Q2,6,2,25.93,0.5,169.49,3.0,69.17,-1.289,-0.342,-0.961,-1.261,137.21,47.96,1051.29,0.6912,30.88,0.2074,0.2422,0.1312,26.84,89.31,89.31,MEDIUM,0.59
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-07-01,2019-07-15,2019-07_Q1,7,1,25.42,0.67,149.98,2.0,73.38,-1.371,-0.549,-0.875,-1.297,137.21,6.23,1051.82,0.6905,30.95,0.3498,0.2529,0.1803,44.99,89.31,121.52,HIGH,0.38
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-07-16,2019-07-31,2019-07_Q2,7,2,25.67,0.69,181.41,4.0,73.38,-1.16,-0.907,-0.86,-1.357,137.21,0.0,1045.94,0.6725,32.75,0.4414,0.1849,0.1816,56.38,62.46,121.21,HIGH,0.38
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-08-01,2019-08-15,2019-08_Q1,8,1,25.77,0.39,98.82,2.0,72.54,-0.962,-1.274,-0.788,-1.294,137.21,0.0,1054.28,0.6703,32.97,0.3704,0.1365,0.2495,44.32,44.32,169.12,HIGH,0.2
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-08-16,2019-08-31,2019-08_Q2,8,2,25.42,0.97,149.25,2.0,72.54,-1.183,-1.535,-0.954,-1.363,137.21,0.0,1036.37,0.6602,33.98,0.0545,0.0195,0.2982,6.08,6.08,205.31,MEDIUM,0.2
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-09-01,2019-09-15,2019-09_Q1,9,1,25.88,0.31,90.57,6.0,63.6,-1.431,-1.73,-1.266,-1.458,137.21,0.0,987.55,0.6562,34.38,0.0,0.0,0.3992,0.0,0.0,291.54,HIGH,0.31
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-09-16,2019-09-30,2019-09_Q2,9,2,24.16,0.67,160.04,9.0,63.6,-0.027,-0.974,-1.027,-1.425,137.21,57.99,1011.13,0.656,34.4,0.0,0.0,0.4857,0.0,0.0,374.59,HIGH,0.31
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-10-01,2019-10-15,2019-10_Q1,10,1,24.17,0.28,129.44,8.0,56.26,0.478,-0.749,-1.144,-1.457,137.21,91.29,999.31,0.6549,34.51,0.0,0.1004,0.4934,0.0,32.21,389.7,HIGH,0.51
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-10-16,2019-10-31,2019-10_Q2,10,2,23.96,0.65,141.38,9.0,56.26,0.608,-0.022,-0.814,-1.445,137.21,137.21,1034.25,0.6539,34.61,0.0,0.1781,0.5092,0.0,58.75,411.49,NOT_SUITABLE,0.51
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-11-01,2019-11-15,2019-11_Q1,11,1,24.39,0.79,146.72,7.0,58.07,0.565,-0.062,-0.877,-1.578,137.21,137.21,1053.21,0.6527,34.73,0.0,0.3534,0.5168,0.0,124.8,423.44,NOT_SUITABLE,0.72
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-11-16,2019-11-30,2019-11_Q2,11,2,24.67,0.83,148.44,6.0,58.07,-0.885,-0.28,-1.402,-2.303,137.21,111.34,1046.91,0.6516,34.84,0.0,0.5289,0.5098,0.0,199.23,423.44,NOT_SUITABLE,0.72
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-12-01,2019-12-15,2019-12_Q1,12,1,24.73,0.36,41.35,2.0,63.86,-1.077,-0.026,-1.347,-2.208,137.21,64.34,1051.88,0.6504,34.96,0.283,0.6967,0.5097,32.21,291.54,423.44,NOT_SUITABLE,0.75
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2019-12-16,2019-12-31,2019-12_Q2,12,2,25.3,0.57,140.77,6.0,63.86,-0.814,-0.331,-1.002,-1.501,137.21,23.35,1060.48,0.6541,34.59,0.5057,0.8159,0.5095,58.75,374.59,423.44,NOT_SUITABLE,0.75
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-01-01,2020-01-15,2020-01_Q1,1,1,24.45,0.83,15.63,2.0,65.39,-0.889,-0.57,-0.861,-1.299,137.21,0.0,1062.75,0.6787,32.13,0.6988,0.7622,0.4726,92.59,357.49,391.23,NOT_SUITABLE,0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-01-16,2020-01-31,2020-01_Q2,1,2,25.77,0.87,19.95,3.0,65.39,0.026,-0.783,-0.567,-1.062,137.21,0.0,1082.57,0.6993,30.07,0.9455,0.7376,0.4424,140.48,352.73,364.69,NOT_SUITABLE,0.71
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-02-01,2020-02-15,2020-02_Q1,2,1,26.72,0.62,14.74,3.0,82.79,0.724,-0.971,-0.622,-0.969,137.21,0.0,1090.67,0.7082,29.18,0.9686,0.6404,0.3703,166.74,298.64,298.64,NOT_SUITABLE,0.66
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-02-16,2020-02-29,2020-02_Q2,2,2,27.65,0.64,0.0,0.0,82.79,-0.382,-0.455,-0.434,-1.012,137.21,0.0,1081.17,0.7047,29.53,0.9024,0.4939,0.2843,175.37,224.21,224.21,NOT_SUITABLE,0.66
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-03-01,2020-03-15,2020-03_Q1,3,1,28.2,0.39,110.65,2.0,109.94,-1.147,-0.868,-0.448,-1.221,137.21,0.0,1073.61,0.6923,30.77,0.5972,0.3199,0.1778,98.16,131.9,131.9,NOT_SUITABLE,0.57
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-03-16,2020-03-31,2020-03_Q2,3,2,28.36,0.41,4.28,2.0,109.94,-1.295,-0.976,-1.048,-1.337,137.21,0.0,1059.48,0.6763,32.37,0.2727,0.1313,0.0702,36.89,48.85,48.85,MEDIUM,0.57
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-04-01,2020-04-15,2020-04_Q1,4,1,26.34,0.66,207.42,8.0,77.35,-0.874,-0.875,-1.033,-1.177,137.21,0.0,1072.16,0.6833,31.67,0.26,0.094,0.0496,33.74,33.74,33.74,MEDIUM,0.33
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-04-16,2020-04-30,2020-04_Q2,4,2,25.79,0.56,103.66,5.0,77.35,-1.248,-1.386,-1.395,-1.32,137.21,0.0,1015.49,0.6696,33.04,0.0962,0.0345,0.018,11.96,11.96,11.96,LOW,0.33
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-05-01,2020-05-15,2020-05_Q1,5,1,25.55,0.94,318.65,9.0,71.48,-1.506,-1.512,-1.457,-1.422,137.21,0.0,996.39,0.6624,33.76,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.04
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-05-16,2020-05-31,2020-05_Q2,5,2,25.02,1.09,322.37,9.0,71.48,-0.914,-1.45,-1.508,-1.465,137.21,20.52,949.63,0.6631,33.69,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.04
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-06-01,2020-06-15,2020-06_Q1,6,1,24.47,0.59,263.13,12.0,64.45,0.395,-1.176,-1.502,-1.437,137.21,55.27,1004.06,0.6619,33.81,0.0,0.0,0.0,0.0,0.0,0.0,LOW,-0.18
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-06-16,2020-06-30,2020-06_Q2,6,2,25.02,0.48,258.37,6.0,64.45,0.036,-0.995,-1.226,-1.423,137.21,23.75,1013.75,0.6609,33.91,0.0,0.0,0.0,0.0,0.0,0.0,LOW,-0.18
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-07-01,2020-07-15,2020-07_Q1,7,1,24.2,0.51,182.04,7.0,62.12,-0.089,-0.709,-1.01,-1.32,137.21,30.6,1052.15,0.6586,34.14,0.0,0.0,0.0,0.0,0.0,0.0,LOW,-0.29
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-07-16,2020-07-31,2020-07_Q2,7,2,24.42,0.86,151.8,7.0,62.12,1.709,0.224,-0.803,-1.126,137.21,60.48,1105.35,0.6743,32.57,0.0,0.0,0.068,0.0,0.0,43.59,LOW,-0.29
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-08-01,2020-08-15,2020-08_Q1,8,1,25.18,0.54,60.79,3.0,63.25,1.078,0.543,-0.873,-1.115,137.21,34.95,1090.33,0.6849,31.51,0.0,0.0,0.1689,0.0,0.0,112.45,MEDIUM,-0.43
p001,8.339260162737142,-73.63437940782343,cacao_ccn51,2020-08-16,2020-08-31,2020-08_Q2,8,2,23.74,0.41,216.76,9.0,63.25,0.364,0.617,-0.641,-0.963,137.21,43.66,1130.02,0.7092,29.08,0.0,0.0,0.2795,0.0,0.0,192.74,MEDIUM,-0.43
